"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.76366865417203","-9.23979785626878","-9.07678960991152","-9.87649002537632","-7.12289211943486","-0.176290476628915","6.5072830962507","10.1001662952791","18.233927932646","8.0055490029088","0.458057346907226","10.4942518235029","17.4159053829471","16.9728184824788","17.8978675514995","18.5276168817306","21.9078295434876","22.0366815449198","24.1571600723123","42.0123441078865","43.5287644039078","","","","","","","","",
"Angola","AGO","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-13.8672325436397","27.9320268942491","-21.712627777893","-12.1033611354958","-5.07069349128548","-7.22412254794356","-34.8681825862531","-30.5697195058876","-28.9079254626906","-31.5429091263726","-32.347608636204","-32.1143160448936","-29.4224462038239","-27.4498293971904","-29.4269271227753","-28.4032723483125","-27.783840315884","-26.39472788545","-24.5973784142375","-21.2121313908154","-19.5405753023669","-18.0082669685745","","","","","","","",
"Albania","ALB","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-25.5481530858023","-43.963783457716","-45.4033334722851","-38.8647382866753","-42.2142753917607","-44.3216532302618","-50.5017469353407","-52.791696480374","-41.567126555719","-24.5075059668779","-38.6233205516791","-32.4822968156529","-29.5041271570367","-33.3997870636564","-25.2354198386521","-27.7661756577472","-11.0984079414599","-26.7796003127066","-27.0313171649929","-23.448186258973","-21.6007523847841","-19.923895714756","","","","","","","",
"Andorra","AND","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.10537456736957","4.80888057041147","10.5313031349286","14.4560112092399","52.9085676945144","56.4958556379803","57.8155778183911","116.919573129877","122.776379259603","130.175461401877","122.294854582246","139.774428378993","144.208923431042","106.566622763792","119.913038198892","115.361489487882","193.007136586013","194.077832735858","196.990306707758","139.364030700831","208.913085179864","137.429841083828","","","","","","","",
"United Arab Emirates","ARE","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3584509010558","8.6362011359939","12.1757080628354","21.401780451239","29.5253198923852","42.1195523531957","40.5563938363849","44.8210520238864","47.8759147715843","59.2038358413943","58.6497633057658","74.9002700070953","84.9576811620782","93.1065003548215","97.7523835871519","109.43489893056","131.709974144692","150.195997710923","151.621726257335","166.387517500362","174.960602996798","182.610679297568","","","","","","","",
"Argentina","ARG","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.237738563777978","2.0949351809268","3.73946149131006","1.64818780572251","3.20435866470048","8.1376209257803","12.4378557028168","16.8669373824984","25.2599097454661","24.3461322039205","22.4827046032483","16.6933259522433","29.3530495372756","38.787142752474","34.4509011891466","40.1588857655397","44.2658013244019","54.378489875055","40.087045304212","36.8138706089639","39.8859904305876","42.670472348204","","","","","","","",
"Armenia","ARM","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81352788710982","-41.3156367053822","-66.1830315270857","-75.3030218468266","-72.8653767477728","-75.7692874710301","-72.8281032698671","-72.757522360589","-74.1648635402191","-72.2291412822638","-72.1129192971075","-73.8768253670536","-71.7998198182359","-69.1326455989746","-66.0256994154198","-64.6440020747987","-62.2978203654759","-49.5753131654314","-54.5688347914327","-53.9301343518405","-49.7865831199415","-50.184265444283","","","","","","","",
"American Samoa","ASM","Total greenhouse gas emissions (% change from 1990)","EN.ATM.GHGT.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87334542041251","5.53969502641534","7.93622480379552","10.1698195749597","12.2806517947807","14.1388852980566","15.8672051143862","17.4063983690445","52.7653210774268","133.821443763693","149.65535819528","151.936886917996","154.341675214379","156.706804760108","159.065791443555","161.523235648886","164.525696969179","167.971685702924","169.801917205478","177.888402678782","183.315036082645","188.329466364967","","","","","","","",
